Date	Day	Cases_Guinea	Cases_Liberia	Cases_SierraLeone	Cases_Nigeria	Cases_Senegal	Cases_UnitedStates	Cases_Spain	Cases_Mali	Deaths_Guinea	Deaths_Liberia	Deaths_SierraLeone
10/27/14	218	1906		5235	20	1	4	1	1	997		1500
10/25/14	216		6535								2413	
10/22/14	214			3896			4	1	1			1281
10/21/14	213	1553								926		
10/19/14	211	1540		3706	20	1	3	1		904		1259
10/18/14	210		4665								2705	
10/14/14	206	1519		3410	20	1	3	1		862		1200
10/13/14	205		4262								2484	
10/12/14	204	1472		3252	20	1	2	1		843		1183
10/11/14	203		4249								2458	
10/8/14	200			2950	20	1	1	1				930
10/7/14	199	1350	4076							778	2316	
10/5/14	197	1298		2789	20	1	1			768		879
10/4/14	196		3924								2210	
10/1/14	193	1199	3834	2437	20	1	1			739	2069	623
9/28/14	190	1157	3696	2304	20	1				710	1998	622
9/23/14	185	1074	3458	2021	20	1				648	1830	605
9/21/14	183	1022	3280	1940	20	1				635	1677	597
9/20/14	182			1813								593
9/19/14	181	1008								632		
9/17/14	179		3022								1578	
9/14/14	176	942	2710	1673						601	1459	562
9/13/14	175	936		1620	21	1				595	1296	562
9/10/14	172	899		1478	21	1				568		536
9/9/14	171		2407									
9/7/14	169	861	2081	1424	21	3				557	1137	524
9/5/14	167	812	1871	1261	22	1				517	1089	491
8/31/14	162	771	1698	1216	21	1				494	871	476
8/26/14	157	648	1378	1026	17					430	694	422
8/20/14	151	607	1082	910	16					406	624	392
8/18/14	149	579	972	907	15					396	576	374
8/16/14	147	543	834	848	15					394	466	365
8/13/14	144	519	786	810	12					380	413	348
8/11/14	142	510	670	783	12					377	355	334
8/9/14	140	506	599	730	13					373	323	315
8/6/14	137	495	554	717	13					367	294	298
8/4/14	135	495	516	691	9					363	282	286
8/1/14	132	485	468	646	4					358	255	273
7/30/14	129	472	391	574	3					346	227	252
7/27/14	126	460	329	533	1					339	156	233
7/23/14	123	427	249	525	0					319	129	224
7/20/14	120	415	224	454						314	127	219
7/17/14	117	410	196	442						310	116	206
7/14/14	114	411	174	397						310	106	197
7/12/14	112	406	172	386						304	105	194
7/8/14	108	409	142	337						309	88	142
7/6/14	106	408	131	305						307	84	127
7/2/14	102	412	115	252						305	75	101
6/30/14	100	413	107	239						303	65	99
6/22/14	92		51								34	
6/20/14	90	390		158						270		34
6/19/14	89		41								25	
6/18/14	88	390		136						267		28
6/17/14	87			97								49
6/16/14	86	398	33							264	24	
6/10/14	80	351	13	89						226	24	7
6/5/14	75		13	81								6
6/3/14	73	344	13							215	12	6
6/1/14	71	328	13	79						208	12	6
5/28/14	67	291	13	50						193	12	6
5/27/14	66	281	12	16						186	11	5
5/23/14	62	258	12	0						174	11	0
5/12/14	51	248	12	0						171	11	0
5/10/14	49	233	12	0						157	11	0
5/7/14	46	236	13	0						158	11	0
5/5/14	44	235	13	0						157	11	0
5/3/14	42	231	13	0						155	11	0
5/1/14	40	226	13	0						149	11	0
4/26/14	35	224		0						143		0
4/24/14	33		35	0								0
4/23/14	32	218		0						141		0
4/22/14	31			0								0
4/21/14	30		34								11	
4/20/14	29	208								136	6	
4/17/14	26	203	27							129		
4/16/14	25	197	27							122	13	
4/15/14	24			12								
4/14/14	23	168								108		
4/11/14	20	159	26	2						106	13	2
4/9/14	18	158	25	2						101	12	2
4/7/14	16	151	21	2						95	10	2
4/4/14	13	143	18	2						86	7	2
4/1/14	10	127	8	2						83	5	2
3/31/14	9	122	8	2						80	4	2
3/29/14	7	112	7							70	2	
3/28/14	6	112	3	2						70	3	2
3/27/14	5	103	8	6						66	6	5
3/26/14	4	86								62		
3/25/14	3	86								60		
3/24/14	2	86								59		
3/22/14	0	49								29		
